-
SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131601|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: get host by name failed in tcp_connect()
20201019131601|SAT-SEFAZ|erro|nvl 0:(CFeRecepcao) falha de comunicacao com a SEFAZ
20201019131601|SAT|erro|nvl 0:(bloqueio) falha ao sair do estado de bloqueio
20201019131602|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131607|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131613|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131618|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131621|SAT|info|nvl 2:(bloqueio) iniciado processo de desbloqueio autonomo
20201019131621|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.07 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201019131624|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131630|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131635|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131641|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131647|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131652|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201019131652|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Host not found
20201019131652|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: get host by name failed in tcp_connect()
20201019131652|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.07 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201019131652|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131657|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131703|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131708|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131714|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131719|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131722|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201019131722|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Host not found
20201019131722|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: get host by name failed in tcp_connect()
20201019131722|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.07 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201019131724|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131730|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131735|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131741|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131746|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131752|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131752|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201019131752|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Host not found
20201019131752|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: get host by name failed in tcp_connect()
20201019131752|SAT-SEFAZ|erro|nvl 0:(CFeRecepcao) falha de comunicacao com a SEFAZ
20201019131752|SAT|erro|nvl 0:(bloqueio) falha ao sair do estado de bloqueio
20201019131757|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131802|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131808|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131812|SAT|info|nvl 2:(bloqueio) iniciado processo de desbloqueio autonomo
20201019131812|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.07 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201019131813|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131819|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131824|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131829|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131835|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131840|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131842|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201019131842|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Host not found
20201019131842|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: get host by name failed in tcp_connect()
20201019131842|SAT-SEFAZ|info|nvl 2:(CFeRecepcao):0.07 acessado o webservice https://wssatsp.fazenda.sp.gov.br:443/CfeRecepcao/CfeRecepcao.asmx
20201019131846|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131851|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131856|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131902|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131907|SAT|info|nvl 2:(diagnostico) conexao via ETHE sendo estabelecida.
20201019131913|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: codigo: 28
20201019131913|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: motivo: Host not found
20201019131913|SEFAZ-SAT|erro|nvl 0:(CFeRecepcao) diagnostico SOAP: detail: get host by name failed in tcp_connect()
